Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,0.439406545,1.10332238,0.39825762,0.690440297,0.868629273,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,-0.236849968,0.134855869,-1.756319323,0.0790339,0.300279923,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,1.368943758,1.121860801,1.220243863,0.222372443,0.506817572,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,-0.27779486,0.372370721,-0.746016924,0.455657191,0.720070457,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,0.277465112,0.17745121,1.563613532,0.117908355,0.367210608,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,-0.051348201,0.059932764,-0.856763444,0.391575632,0.667770111,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,-0.025453627,0.153137832,-0.166213843,0.867988666,0.951671053,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,-0.002084637,0.161673241,-0.012894138,0.989712251,0.99744979,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,-0.097077428,0.155505556,-0.624269837,0.53245039,0.774712769,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,0.036205565,0.187540807,0.193054331,0.846916418,0.942571095,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,-0.08545627,0.097292338,-0.878345325,0.379756346,0.65796795,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.002972447,0.087109839,-0.034122977,0.972779086,0.990480126,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,-0.170461058,0.178393796,-0.955532435,0.339308511,0.623615505,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,-0.125699568,1.077459661,-0.116662899,0.907127192,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,0.120849174,0.055662123,2.171120441,0.029922069,0.179099919,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,0.137146249,0.099920095,1.372559245,0.169889409,0.444598161,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,0.383552671,0.211253134,1.815607014,0.069430677,0.279770534,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,-1.389201295,2.468006816,-0.562883897,0.573513946,NA,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,-0.127911923,0.139528223,-0.916745879,0.359275819,0.640613664,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,-0.153922292,0.147723313,-1.041963442,0.297428628,0.585146943,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,-0.087818499,0.193051932,-0.454895726,0.649184258,0.845936599,,protein_coding,protein_coding;ORMDL family protein 
