Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,1.398536658,1.103796021,1.267024552,0.205146511,0.270087036,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,0.778069707,0.135617459,5.737238478,9.62E-09,3.70E-08,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,1.271424739,1.122382632,1.132790817,0.257302109,0.328637804,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,3.407960003,0.509636866,6.687035871,2.28E-11,1.14E-10,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,0.789825219,0.182095459,4.337424032,1.44E-05,3.83E-05,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,-0.614044189,0.059617643,-10.29970586,7.07E-25,1.03E-23,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,-0.559813447,0.150184871,-3.727495601,0.000193392,0.000442315,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,-0.036148855,0.161703661,-0.223550011,0.823107465,0.861601521,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,0.609374738,0.170457927,3.574927542,0.000350325,0.000771736,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,-0.743313529,0.182880406,-4.064478778,4.81E-05,0.000119621,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,0.333816637,0.100422889,3.324109069,0.000887015,0.00184308,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.31215925,0.086243054,-3.619529171,0.00029514,0.000658289,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,-0.05733139,0.180675274,-0.317317299,0.751002852,0.801080241,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,-0.999872681,1.056667057,-0.946251399,0.344020376,0.420398,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,-0.782402876,0.053794255,-14.54435761,6.34E-48,3.40E-46,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,-0.445602611,0.097637433,-4.563850141,5.02E-06,1.41E-05,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,-0.130947913,0.204154558,-0.641415577,0.521252715,0.596407847,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,0.672778189,2.656681316,0.25324008,0.800082696,0.84281528,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,-0.044398517,0.140330604,-0.316385136,0.751710197,0.801676816,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,-0.755312761,0.1462295,-5.165255709,2.40E-07,7.87E-07,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,0.162631709,0.193853401,0.83894174,0.401502003,0.478921034,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,0.511995353,0.132418482,3.866494665,0.000110411,0.000260984,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,409.7138108,0.008428163,0.135064221,0.062401153,0.950243377,0.963074012,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,1101.531394,-0.506402819,0.101992368,-4.965105023,6.87E-07,2.13E-06,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,13.19629958,3.286278379,0.610366693,5.384105021,7.28E-08,2.53E-07,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,1525.276118,0.538002975,0.080190432,6.709066933,1.96E-11,9.88E-11,,protein_coding,protein_coding;At1g01310 
AT1G01320,460.9437132,0.454528347,0.152381733,2.982827008,0.002855994,0.005505719,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,869.1630317,0.051053883,0.064549674,0.790923947,0.428988373,0.506503705,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,1647.698517,-0.668677655,0.070827886,-9.440881163,3.70E-21,4.14E-20,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,176.5821228,0.053677727,0.143065876,0.375195877,0.707514797,0.764787023,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01355,1.04652207,4.521979226,3.068195064,1.473823904,0.140529011,0.193725697,,protein_coding,protein_coding;Putative endonuclease or glycosyl hydrolase 
AT1G01360,17.17312523,-1.839215245,0.425282382,-4.324691832,1.53E-05,4.04E-05,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,202.3678927,0.759171964,0.21146289,3.590095466,0.000330557,0.000730853,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,3644.552119,-0.704940518,0.1042144,-6.76432931,1.34E-11,6.88E-11,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,2095.173057,-0.284882825,0.162835279,-1.749515383,0.080201972,0.11690045,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
