Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,-3.427589575,1.103981974,-3.104751397,0.00190439,0.012425415,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,-0.059657819,0.135388604,-0.44064136,0.659472655,0.808076982,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,7.604528773,1.617177436,4.702346571,2.57E-06,4.80E-05,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,1.264436243,0.494824478,2.555322743,0.010608938,0.047931324,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,0.35136697,0.211046858,1.664876575,0.095937383,0.238736112,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,-0.073375334,0.059263373,-1.238122813,0.215670526,0.411781,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,0.074644618,0.152313232,0.490073104,0.62408217,0.78388139,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,0.025869999,0.161706979,0.15998072,0.872896262,0.939882528,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,0.188798112,0.172910823,1.091881406,0.274885231,0.479052039,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,0.358891672,0.182945084,1.961745373,0.049792136,0.151630684,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,0.001257028,0.09820186,0.012800453,0.989786995,0.993684476,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.059378147,0.086265389,-0.688319469,0.491251624,0.685892081,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,-0.330497058,0.16597062,-1.99129857,0.046448073,0.144244582,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,3.967859234,1.56026054,2.543074782,0.010988171,0.049124759,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,-0.21386042,0.051636993,-4.141612623,3.45E-05,0.000449245,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,0.290831081,0.094977293,3.062111723,0.002197814,0.013894867,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,0.620625805,0.227254185,2.730976349,0.0063147,0.032148487,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,0.915915605,2.709466293,0.338042812,0.735330925,NA,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,0.236361023,0.139516653,1.694142013,0.090238301,0.229126007,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,-0.345372126,0.14139386,-2.44262463,0.014580894,0.060662715,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,-0.308389252,0.191878355,-1.607212301,0.108007804,0.258345823,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,-0.086989082,0.132602423,-0.656014273,0.511814941,0.702677687,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,409.7138108,-0.074700927,0.133156776,-0.560999817,0.574797662,0.752597399,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,1101.531394,0.05681185,0.100001032,0.568112637,0.569958488,0.74886756,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,13.19629958,0.118395616,0.781424461,0.151512555,0.879571408,0.943370201,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,1525.276118,-0.193468536,0.079988851,-2.418693777,0.015576347,0.063767645,,protein_coding,protein_coding;At1g01310 
AT1G01320,460.9437132,-0.158916517,0.150174927,-1.058209383,0.289959994,0.495057457,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,869.1630317,-0.041337882,0.064287037,-0.643020483,0.520210809,0.709812638,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,1647.698517,-0.069648632,0.070275349,-0.991081983,0.32164555,0.52912276,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,176.5821228,-0.120854904,0.144721155,-0.835088029,0.403668146,0.611154369,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01355,1.04652207,-0.045870001,3.263736272,-0.014054445,0.988786545,NA,,protein_coding,protein_coding;Putative endonuclease or glycosyl hydrolase 
AT1G01360,17.17312523,1.223913593,0.450261568,2.71822798,0.00656326,0.033072572,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,202.3678927,-0.050712941,0.220392984,-0.230102339,0.818012247,0.908696694,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,3644.552119,0.216793844,0.103857192,2.087422543,0.036849956,0.12239605,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,2095.173057,-0.472878828,0.16212926,-2.916677884,0.003537809,0.020381197,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,135.3595531,0.201956328,0.162733068,1.241028204,0.21459533,0.410301808,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,1018.12099,-0.095444899,0.079845252,-1.195373515,0.231941129,0.431405835,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,4.847637942,-0.720173646,0.836638661,-0.860794127,0.38935144,0.596935621,,protein_coding,protein_coding;At1g01440 
AT1G01460,1269.334899,0.21837149,0.071836612,3.039835612,0.002367073,0.01475068,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,515.0440119,0.193060172,0.086388838,2.234781443,0.025431701,0.092239781,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,514.2237022,-0.232607477,0.086616171,-2.685497102,0.0072422,0.035802922,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,398.7226912,-0.135349515,0.101106131,-1.338687507,0.180672425,0.366291186,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,645.6995209,0.097844353,0.098117499,0.997216133,0.318659612,0.525962879,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,308.6921313,-0.745803116,0.150197665,-4.96547743,6.85E-07,1.56E-05,,protein_coding,protein_coding;ASG4 
AT1G01530,1965.966082,0.558156816,0.221625945,2.518463334,0.011786815,0.051726363,AGL28,protein_coding,AGL28;protein_coding;AGL28 
AT1G01540,1382.332518,-1.402909986,0.192757156,-7.278121435,3.39E-13,3.32E-11,,protein_coding,protein_coding;Probable serine/threonine-protein kinase At1g01540 
AT1G01550,7.080199741,0.860976521,0.70002672,1.229919512,0.218727247,0.415675402,BPS1,protein_coding,BPS1;protein_coding;Protein BPS1; chloroplastic 
AT1G01560,255.6856329,-0.487331436,0.20765506,-2.346831507,0.018933815,0.073939811,MPK11,protein_coding,MPK11;protein_coding;Mitogen-activated protein kinase 11 
AT1G01570,135.9606241,0.276120755,0.306103883,0.902049173,0.367030747,0.57457375,,protein_coding,protein_coding;F22L4.11 protein 
AT1G01580,8.122558703,-0.041780133,0.638364949,-0.065448665,0.947816778,0.979868456,FRO2,protein_coding,FRO2;protein_coding;ferric reduction oxidase 2 
AT1G01590,12.07999537,3.453609005,0.732238641,4.716507448,2.40E-06,4.52E-05,FRO1,protein_coding,FRO1;protein_coding;Probable ferric reduction oxidase 1 
AT1G01600,534.4264819,0.677129728,0.14615705,4.632891301,3.61E-06,6.43E-05,CYP86A4,protein_coding,CYP86A4;protein_coding;Cytochrome P450 86A4 
AT1G01620,5070.917165,-0.519196435,0.059008998,-8.798597763,1.39E-18,3.27E-16,PIP1-3,protein_coding,PIP1-3;protein_coding;TMP-B 
AT1G01630,1084.26321,0.184499785,0.082679491,2.231506057,0.025647627,0.092797848,,protein_coding,protein_coding;Polyphosphoinositide binding protein; putative 
