Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,3.356180139,1.560526199,2.150672087,0.031502091,0.19559313,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,-0.189470998,0.191626405,-0.988752037,0.322784476,0.642157455,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,-2.240640802,1.711357325,-1.30927701,0.190440534,0.506851702,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,-0.346253311,0.718432115,-0.481956894,0.629836568,0.847349895,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,-0.18338697,0.261106484,-0.702345521,0.482463711,0.75820927,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,0.152032845,0.084156125,1.806557087,0.070831366,0.306171444,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,-0.316713444,0.213246146,-1.485201259,0.137490519,0.430388928,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,0.420593075,0.228595155,1.839903719,0.065782374,0.294430199,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,0.037709413,0.236919815,0.1591653,0.873538642,0.954876955,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,-0.29143062,0.259933304,-1.12117461,0.262213545,0.586582701,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,-0.122924152,0.141506464,-0.868682242,0.385020957,0.691483826,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.132572251,0.122096135,-1.085802195,0.277566515,0.601189149,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,0.328535325,0.251134951,1.308202322,0.190804695,0.5072375,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,-3.596761341,1.690626942,-2.127471917,0.033380892,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,0.366139256,0.075933481,4.821842094,1.42E-06,0.000141735,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,0.124354558,0.138401805,0.898503877,0.368916979,0.678728824,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,0.118443401,0.296142135,0.399954574,0.689189975,0.877811233,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,-1.473396116,3.664938912,-0.402024741,0.687665818,NA,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,-0.135899255,0.197933749,-0.686589608,0.492341379,0.764844216,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,0.254071569,0.205517163,1.236254749,0.216363886,0.53758171,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,0.741639689,0.272917177,2.717453317,0.006578644,0.074026082,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,-0.260563564,0.18705662,-1.392966274,0.163629989,0.471002189,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,409.7138108,-0.090595672,0.189816665,-0.477279865,0.633162847,0.848809106,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,1101.531394,0.362967952,0.144493647,2.511999387,0.01200493,0.108118791,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,13.19629958,-0.963307647,0.925704671,-1.040620921,0.298051518,0.620005683,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,1525.276118,0.064629897,0.11277992,0.573062095,0.566602651,0.811670575,,protein_coding,protein_coding;At1g01310 
AT1G01320,460.9437132,-0.150589166,0.214579858,-0.701786119,0.482812557,0.758414113,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,869.1630317,-0.06182491,0.090535756,-0.682878377,0.494683698,0.766445733,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,1647.698517,0.230213165,0.100461972,2.291545356,0.021931892,0.157013949,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,176.5821228,-0.141926069,0.200457242,-0.708011683,0.478938002,0.755347431,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01355,1.04652207,1.199286149,4.363467756,0.274847029,0.783433765,NA,,protein_coding,protein_coding;Putative endonuclease or glycosyl hydrolase 
AT1G01360,17.17312523,-0.456663444,0.618339967,-0.738531339,0.46019163,0.741665929,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,202.3678927,0.323139234,0.297978717,1.084437294,0.278170956,0.601764654,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,3644.552119,0.06545903,0.147479335,0.443852219,0.657149431,0.860167031,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,2095.173057,-0.076419112,0.229930508,-0.332357428,0.739619381,0.900567892,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,135.3595531,-0.138222484,0.22121211,-0.624841399,0.532075156,0.789020023,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,1018.12099,-0.030875715,0.114857545,-0.268817469,0.788070149,0.918783972,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,4.847637942,-0.331447758,1.212013356,-0.273468734,0.784492924,NA,,protein_coding,protein_coding;At1g01440 
AT1G01460,1269.334899,0.218328289,0.100570201,2.170904363,0.029938402,0.190148573,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,515.0440119,-0.046340384,0.126953056,-0.365019842,0.715096595,0.888654098,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,514.2237022,0.064026175,0.117338579,0.545653232,0.585304326,0.823706092,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,398.7226912,-0.039898356,0.144587365,-0.275946353,0.782589271,0.917072032,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,645.6995209,-0.015762728,0.132831916,-0.11866672,0.905539403,0.968250086,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,308.6921313,0.44041559,0.206208878,2.135774141,0.032697828,0.199287376,,protein_coding,protein_coding;ASG4 
AT1G01530,1965.966082,0.370948707,0.31238751,1.187463308,0.235044921,0.556968551,AGL28,protein_coding,AGL28;protein_coding;AGL28 
AT1G01540,1382.332518,1.286910867,0.272869347,4.716216325,2.40E-06,0.00021756,,protein_coding,protein_coding;Probable serine/threonine-protein kinase At1g01540 
