Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,-0.510815982,1.560992613,-0.327237924,0.743487939,0.999443366,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,-0.012278849,0.192001687,-0.063951777,0.949008625,0.999443366,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,3.994944213,2.070125714,1.929807541,0.053630689,0.999443366,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,1.195977792,0.788882623,1.516040228,0.129509181,0.999443366,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,-0.109485112,0.285006032,-0.384150157,0.700867159,0.999443366,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,0.130005712,0.08368073,1.553591991,0.120281771,0.999443366,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,-0.216615198,0.212654752,-1.01862383,0.308381587,0.999443366,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,0.448547712,0.228619017,1.961987756,0.04976391,0.999443366,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,0.323584954,0.248690917,1.301153084,0.193206061,0.999443366,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,0.031255487,0.256637238,0.121788587,0.903066453,0.999443366,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,-0.036210854,0.142133337,-0.254766788,0.798903229,0.999443366,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.188977951,0.121495101,-1.555436803,0.119842075,0.999443366,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,0.168499325,0.242467863,0.694934675,0.487096241,0.999443366,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,0.496797461,2.032657986,0.244407797,0.806915004,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,0.031429661,0.073034242,0.430341441,0.666947286,0.999443366,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,0.27803939,0.134876686,2.061434023,0.039261652,0.982757784,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,0.355516536,0.30776085,1.155171413,0.248020239,0.999443366,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,0.831720784,3.831693655,0.217063487,0.828158869,NA,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,0.228373691,0.197925593,1.153836083,0.248567378,0.999443366,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,0.062621735,0.201015798,0.311526434,0.755400451,0.999443366,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,0.521068936,0.272088295,1.915072958,0.0554832,0.999443366,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,-0.213966308,0.190257092,-1.124616729,0.260751481,0.999443366,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,409.7138108,0.023588213,0.189549853,0.124443321,0.900964275,0.999443366,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,1101.531394,0.165947733,0.14191654,1.169333277,0.242269381,0.999443366,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,13.19629958,-0.549489532,1.144199517,-0.480239262,0.631057272,NA,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,1525.276118,0.001157236,0.113795516,0.010169437,0.991886103,0.999443366,,protein_coding,protein_coding;At1g01310 
AT1G01320,460.9437132,-0.096591843,0.215107565,-0.44903973,0.653402997,0.999443366,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,869.1630317,0.007445105,0.091269545,0.081572723,0.934986493,0.999443366,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,1647.698517,-0.057207874,0.098846742,-0.578753255,0.562755677,0.999443366,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,176.5821228,-0.090634624,0.204002258,-0.444282455,0.656838384,0.999443366,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01355,1.04652207,-0.130059641,4.615497188,-0.028178902,0.977519465,NA,,protein_coding,protein_coding;Putative endonuclease or glycosyl hydrolase 
AT1G01360,17.17312523,0.567028125,0.588012363,0.964313272,0.334888889,NA,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,202.3678927,0.168399749,0.30731158,0.547977233,0.583707536,0.999443366,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,3644.552119,0.122861697,0.146859104,0.836595715,0.402819855,0.999443366,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,2095.173057,-0.233999992,0.229526741,-1.019489019,0.307970864,0.999443366,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,135.3595531,0.199721576,0.22980489,0.869091933,0.384796849,0.999443366,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,1018.12099,-0.101908494,0.113327803,-0.899236471,0.368526718,0.999443366,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,4.847637942,-1.055031967,1.238840516,-0.851628562,0.394420282,NA,,protein_coding,protein_coding;At1g01440 
AT1G01460,1269.334899,0.136207345,0.10080363,1.35121469,0.17662667,0.999443366,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,515.0440119,0.067115375,0.122258199,0.5489642,0.583030018,0.999443366,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,514.2237022,-0.010366584,0.120962838,-0.08570057,0.931704449,0.999443366,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,398.7226912,-0.039443461,0.14492694,-0.272160997,0.78549823,0.999443366,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,645.6995209,0.053158149,0.137349656,0.387027897,0.698735555,0.999443366,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,308.6921313,-0.070024296,0.208419531,-0.335977611,0.73688775,0.999443366,,protein_coding,protein_coding;ASG4 
