Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,219.0215043,2.324862284,1.495544785,1.554525353,0.120059154,0.951895564,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,907.2922008,0.08959702,0.100343907,0.892899457,0.371911018,0.999815946,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,16.81733276,0.761992225,1.045575251,0.728777985,0.46613748,NA,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,1.028156898,0.240245542,1.874146611,0.1281893,0.897999168,NA,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.7138621,0.300367604,0.160377979,1.872873111,0.061085909,0.841285185,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,2151.438482,-0.038201864,0.062917762,-0.607171385,0.54373718,0.999815946,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,63.63384712,0.246018266,0.255407659,0.963237621,0.335428289,0.999815946,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,3878.252808,0.137164035,0.183759957,0.746430493,0.455407405,0.999815946,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,21.80455139,0.261676364,0.391156007,0.668982093,0.503506901,NA,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,52.38812082,-0.055929992,0.248868973,-0.224736699,0.822184113,0.999815946,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,145.6777067,-0.057479232,0.145918054,-0.393914462,0.693644192,0.999815946,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,139.0759985,-0.255838656,0.206069919,-1.241513841,0.214415988,0.999815946,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,22.13187506,-0.071212175,0.428700228,-0.166111819,0.868068953,NA,,protein_coding,protein_coding;At1g01170 
AT1G01180,1.432785441,-0.413165211,1.526100097,-0.270732707,0.786596619,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,547.7812466,0.219266248,0.133280954,1.645143149,0.099940294,0.916301812,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,120.6734838,0.203764319,0.176984692,1.151310413,0.249604555,0.999815946,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
