Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,219.0215043,-3.271958741,1.476419015,-2.216145084,0.026681567,0.193382173,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,907.2922008,-0.058987614,0.105621257,-0.558482403,0.576515017,0.865786415,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,16.81733276,1.13338326,1.01679212,1.114665661,0.264993721,0.655787324,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,1.028156898,0.313022453,2.375890325,0.131749538,0.895182401,NA,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.7138621,0.318919731,0.16124366,1.977874543,0.047942861,0.272323301,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,2151.438482,-0.224121224,0.062535635,-3.583896188,0.000338507,0.008397813,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,63.63384712,0.134202953,0.248736179,0.539539337,0.589514762,0.869443355,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,3878.252808,-0.110936547,0.183117911,-0.605820296,0.54463409,0.850003923,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,21.80455139,0.150028669,0.424690169,0.353266169,0.723888906,0.926452131,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,52.38812082,0.188658077,0.23137546,0.815376348,0.414856919,0.778659767,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,145.6777067,0.114929902,0.154318002,0.744760175,0.456416714,0.804793936,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,139.0759985,0.005061679,0.210951651,0.023994498,0.980856997,0.993915121,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,22.13187506,-0.505305838,0.373018144,-1.354641445,0.175531822,0.54624762,,protein_coding,protein_coding;At1g01170 
AT1G01180,1.432785441,-0.469117744,1.587374649,-0.295530576,0.767588599,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,547.7812466,-0.201425444,0.129963255,-1.549864562,0.121174027,0.459755518,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,120.6734838,-0.237434289,0.177443655,-1.338082724,0.180869472,0.554071997,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,24.14278845,-0.057514118,0.404018403,-0.142355194,0.886799452,0.97031801,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01220,194.0201842,0.133313697,0.174477291,0.764074777,0.444822682,0.797754604,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,251.4175203,0.039391625,0.24875564,0.158354701,0.874177307,0.967481201,,protein_coding,protein_coding;At1g01225 
AT1G01230,158.1637796,-0.271188943,0.217092443,-1.249186471,0.211596879,0.593040956,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,111.8413187,0.07146867,0.180817214,0.395253685,0.692655677,0.914640712,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,116.4816227,0.021413964,0.173556846,0.123382997,0.901803821,0.974342709,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,234.1819123,-0.091537968,0.167431985,-0.546717332,0.584572945,0.868509303,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,3.302433014,0.642387749,1.228169249,0.523044971,0.600942959,0.873929873,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,811.3929498,-0.063958465,0.086648775,-0.738134674,0.460432615,0.806412124,,protein_coding,protein_coding;At1g01310 
AT1G01320,146.8478372,-0.324894834,0.180824732,-1.796738921,0.072377077,0.348052447,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,272.833942,-0.11220407,0.11789828,-0.951702353,0.341247956,0.724428221,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,284.4011944,-0.080685519,0.121138513,-0.666060005,0.505372747,0.831100558,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,51.49684327,-0.243791709,0.285974989,-0.852493115,0.393940458,0.763680997,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01360,4.547161673,0.078128841,0.771198113,0.101308393,0.919305654,0.978862849,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,135.0001911,0.277174506,0.182756475,1.516633028,0.129359362,0.475577242,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,910.8423633,-0.059057336,0.091019645,-0.648841645,0.516440736,0.835494941,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,430.2761854,-0.776033194,0.171737645,-4.518713369,6.22E-06,0.000338777,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,759.5014024,0.039207813,0.226419895,0.173164168,0.862522388,0.966262868,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,224.3841136,-0.162061055,0.149694877,-1.082609227,0.27898191,0.670642953,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,2.481214094,1.515568544,1.124961181,1.347218526,0.177909863,0.549620869,,protein_coding,protein_coding;At1g01440 
AT1G01460,321.2169283,-0.275273211,0.139944957,-1.967010582,0.049181991,0.276743179,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,141.8154163,0.18186342,0.170118335,1.069040677,0.285051341,0.677049931,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,162.7055201,-0.335736231,0.151441907,-2.21693082,0.026627819,0.19332252,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,135.4308107,-0.016418004,0.15731966,-0.10436079,0.916883038,0.978166172,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,296.3439385,0.220069246,0.114738344,1.9180096,0.055109794,0.295011743,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,181.6311438,-0.234371991,0.175309914,-1.33690095,0.181254971,0.554692017,,protein_coding,protein_coding;ASG4 
AT1G01530,618.4922239,0.135064028,0.17927242,0.753401043,0.451208956,0.801193616,AGL28,protein_coding,AGL28;protein_coding;AGL28 
AT1G01540,1010.007125,-0.079821128,0.106727358,-0.747897531,0.454521967,0.803415056,,protein_coding,protein_coding;Probable serine/threonine-protein kinase At1g01540 
AT1G01550,7.14909767,-0.301953304,0.611602492,-0.493708427,0.621512113,0.882071191,BPS1,protein_coding,BPS1;protein_coding;Protein BPS1; chloroplastic 
AT1G01560,56.61246187,-0.362184268,0.257019593,-1.409169875,0.158784943,0.522949101,MPK11,protein_coding,MPK11;protein_coding;Mitogen-activated protein kinase 11 
AT1G01570,78.48756754,0.506965235,0.223262773,2.270710998,0.023164479,0.176822744,,protein_coding,protein_coding;F22L4.11 protein 
AT1G01580,756.5724036,-0.463577625,0.66590563,-0.696161143,0.486327919,0.821182331,FRO2,protein_coding,FRO2;protein_coding;ferric reduction oxidase 2 
AT1G01590,3.932927097,2.456573428,1.473498517,1.667170614,0.095480484,0.406255973,FRO1,protein_coding,FRO1;protein_coding;Probable ferric reduction oxidase 1 
AT1G01600,67.19003904,0.229882077,0.197123557,1.166182673,0.243540597,0.633171753,CYP86A4,protein_coding,CYP86A4;protein_coding;Cytochrome P450 86A4 
AT1G01620,1462.18876,-0.279714344,0.079790476,-3.505610645,0.000455561,0.010504121,PIP1-3,protein_coding,PIP1-3;protein_coding;TMP-B 
AT1G01630,313.2108135,-0.092000173,0.117052935,-0.785970662,0.431884675,0.789028114,,protein_coding,protein_coding;Polyphosphoinositide binding protein; putative 
AT1G01640,223.1576369,-0.217343286,0.156485375,-1.388904784,0.164861706,0.531582627,,protein_coding,protein_coding;BTB/POZ domain-containing protein At1g01640 
AT1G01650,63.18434901,-0.370903726,0.24961592,-1.485897721,0.137306177,0.487308394,SPPL4,protein_coding,SPPL4;protein_coding;Signal peptide peptidase-like 4 
AT1G01680,4.68750477,-3.803257881,1.249844877,-3.042983935,0.002342448,0.036929647,PUB54,protein_coding,PUB54;protein_coding;U-box domain-containing protein 54 
AT1G01690,344.410161,-0.144697833,0.201819268,-0.716967384,0.473394222,0.815159082,ATPRD3,protein_coding,ATPRD3;protein_coding;Putative recombination initiation defects 3 
AT1G01695,564.9809907,0.543484087,0.304611347,1.78418858,0.074393027,0.354138159,,protein_coding,protein_coding;TRM33 
AT1G01700,23.39342345,-0.241655404,0.354011487,-0.682620235,0.494846844,0.825820635,ATROPGEF2,protein_coding,ATROPGEF2;protein_coding;RHO guanyl-nucleotide exchange factor 2 
AT1G01710,1164.19666,-0.029078836,0.097474447,-0.298322654,0.765456916,0.940454188,,protein_coding,protein_coding;Acyl-CoA thioesterase II 
AT1G01715,142.3022276,-0.70683625,0.444465111,-1.590307616,0.111765483,0.441490289,,protein_coding,protein_coding;
AT1G01740,80.86393188,0.33764783,0.241595325,1.397576009,0.162240427,0.527742116,BSK4,protein_coding,BSK4;protein_coding;Serine/threonine-protein kinase BSK4 
AT1G01760,97.79449106,-0.115187154,0.392514217,-0.293459827,0.769170702,0.941548587,,protein_coding,protein_coding;TAD1 
AT1G01770,24.2524236,-0.774626069,0.559048978,-1.38561396,0.165864813,0.532808142,,protein_coding,protein_coding;Propionyl-CoA carboxylase 
AT1G01780,215.4990333,-0.149156845,0.146146661,-1.020597004,0.30744541,0.698338703,PLIM2B,protein_coding,PLIM2B;protein_coding;LIM domain-containing protein PLIM2b 
AT1G01790,361.5422717,0.150750643,0.109386695,1.378144235,0.16815876,0.53643074,KEA1,protein_coding,KEA1;protein_coding;K(+) efflux antiporter 1; chloroplastic 
AT1G01810,1544.931162,-0.030088444,0.107969818,-0.278674585,0.780494568,0.945245026,,protein_coding,protein_coding;T1N6.23 
AT1G01830,2297.37231,0.360488037,0.069884781,5.158319649,2.49E-07,2.27E-05,,protein_coding,protein_coding;ARM repeat superfamily protein 
AT1G01840,138.0553227,0.018948863,0.514737876,0.036812645,0.970634392,0.99275174,,protein_coding,protein_coding;AP2-like ethylene-responsive transcription factor SNZ 
AT1G01870,6.345008308,0.059927355,0.810064147,0.07397853,0.941027469,0.984541816,,tRNA,tRNA;pre-tRNA 
