Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,-0.596322127,1.104747213,-0.539781517,0.589347715,0.750871879,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,0.453272507,0.135831331,3.337024702,0.000846804,0.007224721,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,0.8827721,1.124562229,0.784991774,0.432458391,0.620903167,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,1.752139697,0.53378843,3.282460988,0.001029052,0.008342173,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,-0.884663841,0.19667224,-4.498163237,6.85E-06,0.000190584,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,-0.115831355,0.059266513,-1.954414867,0.050652174,0.146105564,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,-0.387270846,0.149119924,-2.597042944,0.009403017,0.043391807,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,-0.011959748,0.161709783,-0.0739581,0.941043725,0.971987136,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,0.290914639,0.175921099,1.653665423,0.098195512,0.234251974,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,-0.213016511,0.179160041,-1.188973331,0.234450162,0.422010291,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,0.356772593,0.100542516,3.548474875,0.000387469,0.004044826,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.189080321,0.085833936,-2.202862049,0.027604473,0.095023266,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,0.87443476,0.174540872,5.009914013,5.45E-07,2.61E-05,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,-0.924593863,1.055566072,-0.875922301,0.381072275,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,-0.013970681,0.052083282,-0.268237334,0.788516639,0.886488484,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,0.213020275,0.094827363,2.246400913,0.02467834,0.087884936,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,-0.297650579,0.208049736,-1.430670305,0.152524727,0.316792657,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,-0.090077621,2.709461321,-0.033245583,0.973478748,NA,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,0.216988523,0.139619939,1.554137069,0.120151725,0.269613169,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,0.331890355,0.143027242,2.320469515,0.020315492,0.076494384,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,0.491060514,0.193372275,2.539456668,0.01110248,0.04902889,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,0.161707297,0.134503886,1.202249996,0.229266684,0.415338946,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,409.7138108,0.179650277,0.13452748,1.335416949,0.181739921,0.356554067,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,1101.531394,0.236091941,0.100457248,2.350173295,0.018764672,0.072235318,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,13.19629958,-0.088259409,0.763303687,-0.11562817,0.907947236,0.955268968,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,1525.276118,0.183003164,0.080951825,2.260642832,0.023781383,0.085701866,,protein_coding,protein_coding;At1g01310 
AT1G01320,460.9437132,0.428434248,0.152617588,2.807240322,0.004996795,0.027086222,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,869.1630317,0.033279847,0.064828051,0.513355666,0.607702552,0.764667594,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,1647.698517,-0.259819361,0.070005043,-3.711437787,0.000206085,0.002532114,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,176.5821228,-0.11853116,0.145192569,-0.816372082,0.414287359,0.603268672,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01355,1.04652207,-0.090081786,3.263727581,-0.02760089,0.977980472,NA,,protein_coding,protein_coding;Putative endonuclease or glycosyl hydrolase 
AT1G01360,17.17312523,-0.717036131,0.379800146,-1.887930108,0.059035334,0.162757462,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,202.3678927,-0.387917693,0.218246374,-1.777430184,0.075497488,0.194834038,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,3644.552119,0.01914069,0.103768857,0.184455053,0.853656485,0.924505978,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,2095.173057,0.114103226,0.162551667,0.701950514,0.482710025,0.664567924,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,135.3595531,0.060573715,0.161442986,0.375201903,0.707510315,0.833169908,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,1018.12099,0.02746167,0.080314526,0.341926565,0.732406157,0.849732748,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,4.847637942,0.037624124,0.884308679,0.04254637,0.966063147,NA,,protein_coding,protein_coding;At1g01440 
AT1G01460,1269.334899,-0.163618324,0.070908356,-2.307461812,0.021029089,0.078598673,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,515.0440119,0.025261803,0.085775263,0.294511516,0.768367065,0.873519979,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,514.2237022,-0.217224307,0.086977948,-2.497464148,0.012508511,0.053315665,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,398.7226912,0.17621534,0.103322571,1.705487369,0.088103566,0.217167105,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
