Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,219.0215043,-6.019969468,1.49189404,-4.035118653,5.46E-05,0.000223601,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,907.2922008,0.691032312,0.102347809,6.751803645,1.46E-11,1.88E-10,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,16.81733276,-0.8832942,1.043626813,-0.846369784,0.397346489,0.516293995,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,1.028156898,3.402726229,2.144241082,1.586914017,0.11253212,0.1897612,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.7138621,-0.140254791,0.16187065,-0.866462149,0.386236775,0.505440242,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,2151.438482,-0.411357966,0.062161768,-6.617539701,3.65E-11,4.44E-10,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,63.63384712,-0.47655919,0.252174209,-1.889801467,0.058784517,0.110375921,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,3878.252808,-1.185697643,0.183402862,-6.464989868,1.01E-10,1.16E-09,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,21.80455139,0.348010059,0.407514879,0.853981232,0.393115388,0.512183445,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,52.38812082,-0.528138529,0.237538056,-2.223384915,0.026189856,0.055540082,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,145.6777067,0.263974698,0.148243776,1.780679809,0.074964773,0.135468879,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,139.0759985,0.23150976,0.205870376,1.124541393,0.260783421,0.372767376,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,22.13187506,-1.385215344,0.389492243,-3.556464522,0.000375879,0.001293803,,protein_coding,protein_coding;At1g01170 
AT1G01180,1.432785441,0.017505488,1.484140041,0.011795038,0.99058914,0.99421088,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,547.7812466,-0.896190476,0.131193075,-6.831080635,8.43E-12,1.13E-10,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,120.6734838,-0.425041737,0.174768581,-2.43202602,0.015014629,0.034358115,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,24.14278845,-1.028940302,0.420235125,-2.448487146,0.014345755,0.033086062,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01220,194.0201842,0.929665383,0.164642703,5.64656292,1.64E-08,1.31E-07,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,251.4175203,-1.035701567,0.251970013,-4.110415977,3.95E-05,0.00016696,,protein_coding,protein_coding;At1g01225 
AT1G01230,158.1637796,-0.750269963,0.217882605,-3.443459674,0.000574322,0.001886687,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,111.8413187,0.60492831,0.169094716,3.577452476,0.000346959,0.001201595,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,116.4816227,0.397085553,0.163501925,2.428629226,0.015156023,0.034621939,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,234.1819123,-0.516868971,0.167708564,-3.081947381,0.002056512,0.00594669,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,3.302433014,0.752969036,1.200247461,0.627344827,0.530433225,0.64197424,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,811.3929498,0.365108639,0.083636121,4.365442057,1.27E-05,5.97E-05,,protein_coding,protein_coding;At1g01310 
AT1G01320,146.8478372,0.688441757,0.165484605,4.160155904,3.18E-05,0.000137028,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,272.833942,0.240993538,0.111687349,2.157751447,0.030947162,0.06389192,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,284.4011944,-0.411129532,0.120666153,-3.40716533,0.000656414,0.002128177,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,51.49684327,0.443673713,0.265950141,1.668258992,0.095264325,0.165558016,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01360,4.547161673,-0.960824413,0.813535725,-1.181047597,0.237583816,0.347047381,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,135.0001911,0.138975518,0.180246255,0.771031373,0.440688336,0.558451236,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,910.8423633,-0.822263536,0.092220732,-8.916254689,4.82E-19,1.62E-17,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,430.2761854,0.627101393,0.164134597,3.82065331,0.000133099,0.000504919,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,759.5014024,-0.329093715,0.226422277,-1.453451137,0.146098537,0.234408419,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,224.3841136,-0.055136167,0.145780292,-0.378214132,0.705271528,0.788808476,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,2.481214094,-1.01696935,1.327053149,-0.766336563,0.443476068,0.561254258,,protein_coding,protein_coding;At1g01440 
AT1G01460,321.2169283,-0.209602328,0.137189141,-1.527834689,0.126553587,0.208448272,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,141.8154163,-0.403851787,0.17201965,-2.347707293,0.018889359,0.041873393,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,162.7055201,-0.060884924,0.1436309,-0.423898509,0.671639832,0.761389903,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,135.4308107,0.173113283,0.14997984,1.154243689,0.248400276,0.359026846,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,296.3439385,0.10050163,0.112770244,0.891206991,0.372818134,0.491762276,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,181.6311438,-0.385573597,0.173373955,-2.223941863,0.026152356,0.055502068,,protein_coding,protein_coding;ASG4 
AT1G01530,618.4922239,-0.347681952,0.179530995,-1.936612408,0.05279274,0.10066155,AGL28,protein_coding,AGL28;protein_coding;AGL28 
AT1G01540,1010.007125,-0.37870126,0.106552059,-3.554143031,0.000379213,0.001303487,,protein_coding,protein_coding;Probable serine/threonine-protein kinase At1g01540 
AT1G01550,7.14909767,-0.36168939,0.589482299,-0.613571248,0.539498688,0.649709246,BPS1,protein_coding,BPS1;protein_coding;Protein BPS1; chloroplastic 
AT1G01560,56.61246187,-0.07053207,0.24520496,-0.287645362,0.773618218,0.841501071,MPK11,protein_coding,MPK11;protein_coding;Mitogen-activated protein kinase 11 
AT1G01570,78.48756754,-0.107992766,0.226061165,-0.477714806,0.632853205,0.729597981,,protein_coding,protein_coding;F22L4.11 protein 
AT1G01580,756.5724036,0.628189122,0.665041857,0.944585841,0.344870358,0.463051191,FRO2,protein_coding,FRO2;protein_coding;ferric reduction oxidase 2 
AT1G01590,3.932927097,1.982275728,1.477929311,1.341252057,0.17983863,0.276748923,FRO1,protein_coding,FRO1;protein_coding;Probable ferric reduction oxidase 1 
AT1G01600,67.19003904,-0.324470406,0.199756857,-1.624326754,0.10430609,0.178492679,CYP86A4,protein_coding,CYP86A4;protein_coding;Cytochrome P450 86A4 
AT1G01620,1462.18876,-0.458483658,0.079352211,-5.77783093,7.57E-09,6.41E-08,PIP1-3,protein_coding,PIP1-3;protein_coding;TMP-B 
AT1G01630,313.2108135,-0.173641406,0.114838803,-1.512044721,0.130522486,0.213426507,,protein_coding,protein_coding;Polyphosphoinositide binding protein; putative 
AT1G01640,223.1576369,0.054989646,0.151550536,0.362846928,0.716719234,0.798088988,,protein_coding,protein_coding;BTB/POZ domain-containing protein At1g01640 
AT1G01650,63.18434901,-1.973946767,0.272432725,-7.245630148,4.30E-13,6.97E-12,SPPL4,protein_coding,SPPL4;protein_coding;Signal peptide peptidase-like 4 
AT1G01680,4.68750477,-0.899421323,0.78906495,-1.139857147,0.254345821,0.365511689,PUB54,protein_coding,PUB54;protein_coding;U-box domain-containing protein 54 
AT1G01690,344.410161,-2.134973565,0.209522183,-10.18972567,2.20E-24,1.37E-22,ATPRD3,protein_coding,ATPRD3;protein_coding;Putative recombination initiation defects 3 
AT1G01695,564.9809907,0.29233749,0.304463679,0.960171967,0.336968673,0.454634513,,protein_coding,protein_coding;TRM33 
AT1G01700,23.39342345,-1.073571617,0.367905288,-2.918065197,0.003522107,0.009615011,ATROPGEF2,protein_coding,ATROPGEF2;protein_coding;RHO guanyl-nucleotide exchange factor 2 
AT1G01710,1164.19666,-1.071361287,0.099077585,-10.81335689,2.98E-27,2.41E-25,,protein_coding,protein_coding;Acyl-CoA thioesterase II 
AT1G01715,142.3022276,-1.345696898,0.4457749,-3.018781221,0.002537937,0.007172321,,protein_coding,protein_coding;
AT1G01740,80.86393188,0.032850418,0.240615327,0.136526708,0.891404912,0.927477361,BSK4,protein_coding,BSK4;protein_coding;Serine/threonine-protein kinase BSK4 
AT1G01760,97.79449106,1.323296499,0.377475485,3.505648843,0.000455496,0.001536402,,protein_coding,protein_coding;TAD1 
AT1G01770,24.2524236,0.945103874,0.495156678,1.908696614,0.05630124,0.106326354,,protein_coding,protein_coding;Propionyl-CoA carboxylase 
AT1G01780,215.4990333,-0.663281606,0.147165071,-4.507058644,6.57E-06,3.26E-05,PLIM2B,protein_coding,PLIM2B;protein_coding;LIM domain-containing protein PLIM2b 
AT1G01790,361.5422717,-0.36596756,0.110174312,-3.321714037,0.000894663,0.002818352,KEA1,protein_coding,KEA1;protein_coding;K(+) efflux antiporter 1; chloroplastic 
AT1G01810,1544.931162,-0.69916339,0.108431949,-6.447946339,1.13E-10,1.29E-09,,protein_coding,protein_coding;T1N6.23 
AT1G01830,2297.37231,-0.740881444,0.071023297,-10.43152706,1.78E-25,1.20E-23,,protein_coding,protein_coding;ARM repeat superfamily protein 
AT1G01840,138.0553227,-1.333494661,0.518886592,-2.569915434,0.010172334,0.02452432,,protein_coding,protein_coding;AP2-like ethylene-responsive transcription factor SNZ 
AT1G01870,6.345008308,0.981884828,0.737008743,1.332256689,0.182775854,0.280539972,,tRNA,tRNA;pre-tRNA 
AT1G01880,520.4838587,-0.578864893,0.102477788,-5.64868646,1.62E-08,1.30E-07,GEN1,protein_coding,GEN1;protein_coding;Flap endonuclease GEN-like 1 
AT1G01890,7.426652137,0.633216319,0.636195067,0.995317871,0.319581689,0.436398444,,tRNA,tRNA;pre-tRNA 
AT1G01900,23.34573511,-0.463068974,0.349376191,-1.325416514,0.185033043,0.283387223,SBTI1.1,protein_coding,SBTI1.1;protein_coding;SBTI1.1 
AT1G01910,17.11578337,0.918345868,0.541444323,1.696103972,0.089866192,0.157659126,,protein_coding,protein_coding;ATPase 
AT1G01920,1426.946862,-0.723230627,0.133499711,-5.417469596,6.04E-08,4.39E-07,,protein_coding,protein_coding;SET domain-containing protein 
AT1G01930,2.191624366,-0.623808484,1.423579984,-0.438197004,0.66124348,0.753049456,,protein_coding,protein_coding;F22M8.6 protein 
AT1G01940,1.74453921,-0.095358661,2.3376724,-0.040792141,0.967461605,0.979318178,CYP18-1,protein_coding,CYP18-1;protein_coding;Peptidyl-prolyl cis-trans isomerase CYP18-1 
AT1G01950,858.675295,0.292811399,0.101711692,2.878837156,0.003991444,0.010736379,ARK2,protein_coding,ARK2;protein_coding;Kinesin-like protein 
AT1G01960,136.3080215,-3.772389941,0.271052466,-13.91756364,4.96E-44,1.67E-41,BIG3,protein_coding,BIG3;protein_coding;Brefeldin A-inhibited guanine nucleotide-exchange protein 3 
AT1G01970,217.7496559,-1.938500214,0.234068071,-8.281779758,1.21E-16,3.16E-15,,protein_coding,protein_coding;Pentatricopeptide repeat-containing protein At1g01970 
AT1G01980,126.917755,0.206716596,0.154862511,1.334839494,0.181928884,0.279487288,SEC1A,protein_coding,SEC1A;protein_coding;Berberine bridge enzyme-like 1 
AT1G01990,176.1050228,0.659683396,0.134343763,4.910413259,9.09E-07,5.31E-06,,protein_coding,protein_coding;At1g01990 
AT1G02000,160.7339764,-1.816239105,0.39565097,-4.590508414,4.42E-06,2.26E-05,GAE2,protein_coding,GAE2;protein_coding;UDP-glucuronate 4-epimerase 2 
AT1G02010,0.755513534,3.280596786,2.365794669,1.386678577,0.165539796,0.258992711,SEC1A,protein_coding,SEC1A;protein_coding;secretory 1A 
AT1G02040,8.038100465,-0.046511637,0.886703837,-0.052454535,0.958166522,0.973185753,,protein_coding,protein_coding;At1g02040 
AT1G02050,134.6225928,-0.073203018,0.176121294,-0.415639791,0.677673605,0.766419005,PKSA,protein_coding,PKSA;protein_coding;Type III polyketide synthase A 
AT1G02060,26.25414799,0.033777137,0.298075736,0.113317298,0.909779003,0.939820678,,protein_coding,protein_coding;Pentatricopeptide repeat-containing protein At1g02060; chloroplastic 
AT1G02065,507.7333006,-0.62400921,0.120945917,-5.159406993,2.48E-07,1.61E-06,SPL8,protein_coding,SPL8;protein_coding;Squamosa promoter-binding-like protein 8 
AT1G02070,0.978452479,1.242135338,1.642498835,0.756247317,0.449500928,0.567069286,,protein_coding,protein_coding;At1g02070 
AT1G02080,2.209225194,4.034744246,1.631355785,2.473246047,0.013389193,0.031234523,,protein_coding,protein_coding;Transcription regulator 
AT1G02100,497.7217751,-0.200802589,0.101423829,-1.979836401,0.047721915,0.092335804,LCMT1,protein_coding,LCMT1;protein_coding;Leucine carboxyl methyltransferase 1 homolog 
AT1G02120,75.89451909,-1.472252085,0.224399344,-6.560857357,5.35E-11,6.37E-10,VAD1,protein_coding,VAD1;protein_coding;Protein VASCULAR ASSOCIATED DEATH 1; chloroplastic 
AT1G02130,100.5523692,-0.403065686,0.258800559,-1.55743746,0.119366658,0.199156402,RABD2A,protein_coding,RABD2A;protein_coding;Ras-related protein RABD2a 
AT1G02145,268.7227901,0.769749653,0.137972476,5.57900875,2.42E-08,1.88E-07,ALG12,protein_coding,ALG12;protein_coding;Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1;6-mannosyltransferase 
AT1G02150,967.104212,-0.723386238,0.121374864,-5.959934475,2.52E-09,2.31E-08,,protein_coding,protein_coding;Pentatricopeptide repeat-containing protein At1g02150 
AT1G02170,3.044405993,1.463080628,0.973302782,1.503212213,0.132784329,0.2163875,AMC1,protein_coding,AMC1;protein_coding;MCP1b 
AT1G02190,65.72846332,1.471583062,0.241132136,6.102807716,1.04E-09,1.01E-08,,protein_coding,protein_coding;Protein CER1-like 1 
AT1G02205,294.4941669,-3.399907509,0.411509886,-8.262031185,1.43E-16,3.69E-15,CER1,protein_coding,CER1;protein_coding;Fatty acid hydroxylase superfamily 
AT1G02210,10.2865672,0.465514396,0.534340656,0.871194042,0.383648212,0.502607689,,protein_coding,protein_coding;At1g02210 
AT1G02220,67.9925189,0.371149573,0.238270516,1.557681494,0.11930877,0.199108997,NAC003,protein_coding,NAC003;protein_coding;NAC domain-containing protein 3 
AT1G02230,564.2578982,-0.761382821,0.112473569,-6.769437734,1.29E-11,1.68E-10,NAC004,protein_coding,NAC004;protein_coding;NAC domain-containing protein 4 
AT1G02250,12.01885142,-3.721906696,2.077766801,-1.791301456,0.073244933,0.132807976,NAC005,protein_coding,NAC005;protein_coding;NAC domain-containing protein 5 
AT1G02260,16.06106895,0.661821753,0.434262452,1.524013301,0.127505388,0.209694333,,protein_coding,protein_coding;At1g02260 
AT1G02270,14.41554262,1.024695569,0.471883976,2.171498973,0.029893475,0.062074589,,protein_coding,protein_coding;Uncharacterized calcium-binding protein At1g02270 
AT1G02280,322.5222779,-0.255375033,0.113628232,-2.247461102,0.024610574,0.052686208,TOC33,protein_coding,TOC33;protein_coding;Translocase of chloroplast 33; chloroplastic 
AT1G02290,47.30888937,-0.053127488,0.25427751,-0.208935065,0.834498931,0.886846846,,protein_coding,protein_coding;At1g02290 
AT1G02300,3.225253751,5.383255769,1.417356401,3.798096065,0.000145812,0.000548717,CATHB1,protein_coding,CATHB1;protein_coding;Cathepsin B-like protease 1 
AT1G02305,84.30284687,0.260616861,0.192077661,1.356830666,0.174835021,0.270580294,CATHB2,protein_coding,CATHB2;protein_coding;Cathepsin B-like protease 2 
AT1G02310,8.606247383,-0.172734546,0.557904762,-0.309612963,0.756855298,0.828502845,MAN1,protein_coding,MAN1;protein_coding;MAN1 
AT1G02330,243.4829482,-0.587539824,0.136892991,-4.291964257,1.77E-05,8.10E-05,CSU2,protein_coding,CSU2;protein_coding;CONTAINS InterPro DOMAIN/s: Hepatocellular carcinoma-associated antigen 59 (InterPro:IPR010756); Has 1239 Blast hits to 998 proteins in 204 species: Archae - 4; Bacteria - 71; Metazoa - 421; Fungi - 109; Plants - 87; Viruses - 5; Other Eukaryotes -  /.../ource: NCBI BLink). 
AT1G02335,4.23983942,-0.741089952,0.916586092,-0.808532835,0.418783912,0.537489807,GL22,protein_coding,GL22;protein_coding;Germin-like protein subfamily 2 member 2 
AT1G02350,353.6459885,0.734152597,0.119259089,6.155946714,7.46E-10,7.42E-09,,protein_coding,protein_coding;Protoporphyrinogen oxidase-like protein 
AT1G02360,7.798380401,-0.701007335,0.574539111,-1.220121175,0.222418943,0.3295653,,protein_coding,protein_coding;Chitinase family protein 
AT1G02380,43.94761479,0.261982877,0.246073103,1.064654665,0.287032232,0.402180439,,protein_coding,protein_coding;T6A9.7 protein 
AT1G02390,111.5023944,0.629872344,0.187521228,3.358938885,0.000782424,0.002491931,GPAT2,protein_coding,GPAT2;protein_coding;Probable glycerol-3-phosphate acyltransferase 2 
AT1G02400,182.2457999,-1.163475956,0.294652967,-3.948631389,7.86E-05,0.000312361,GA2OX6,protein_coding,GA2OX6;protein_coding;Gibberellin 2-beta-dioxygenase 6 
AT1G02410,412.0653362,-0.346551758,0.110651611,-3.131917867,0.001736685,0.005110335,COX11,protein_coding,COX11;protein_coding;Cytochrome c oxidase assembly protein COX11; mitochondrial 
AT1G02420,286.3714925,-1.534366568,0.303153895,-5.061345388,4.16E-07,2.60E-06,,protein_coding,protein_coding;Putative pentatricopeptide repeat-containing protein At1g02420 
AT1G02430,330.8587071,0.215049464,0.136728817,1.572817414,0.115761102,0.194290815,ATARFD1B,protein_coding,ATARFD1B;protein_coding;ADP-ribosylation factor D1B 
AT1G02440,38.76721584,-0.270185695,0.292696736,-0.923090906,0.355959833,0.474549975,ATARFD1A,protein_coding,ATARFD1A;protein_coding;ADP-ribosylation factor D1A 
AT1G02450,478.1856868,0.08934021,0.08778204,1.017750434,0.308796573,0.425380531,NIMIN-1,protein_coding,NIMIN-1;protein_coding;NIMIN1 
AT1G02460,6.730067828,0.782278516,0.667677193,1.171641811,0.241340894,0.351178877,,protein_coding,protein_coding;At1g02460 
AT1G02470,2.639780853,4.18176987,1.555081672,2.689099837,0.007164499,0.018030389,,protein_coding,protein_coding;Polyketide cyclase/dehydrase and lipid transport superfamily protein 
AT1G02475,499.9620353,0.313826624,0.119182065,2.633169879,0.008459203,0.020835233,,protein_coding,protein_coding;Polyketide cyclase/dehydrase and lipid transport superfamily protein 
AT1G02490,169.4917602,-0.40181016,0.137976605,-2.912161534,0.00358937,0.00978087,,protein_coding,protein_coding;unknown protein; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink). 
AT1G02500,10.40422906,2.011661054,0.575687965,3.494360098,0.0004752,0.001595722,SAM1,protein_coding,SAM1;protein_coding;S-adenosylmethionine synthase 
AT1G02510,113.9628102,0.447119844,0.197143082,2.267996618,0.023329413,0.05026803,TPK4,protein_coding,TPK4;protein_coding;TPK4 
AT1G02520,854.1950549,0.018408901,0.090656943,0.203061129,0.839087254,0.890338265,ABCB11,protein_coding,ABCB11;protein_coding;ABC transporter B family member 11 
AT1G02540,542.3276737,-0.973435295,0.201324003,-4.835167593,1.33E-06,7.53E-06,,protein_coding,protein_coding;T14P4.13 protein 
AT1G02550,55.58361888,0.137495896,0.216345471,0.635538591,0.525077206,0.636968255,,protein_coding,protein_coding;Invertase 
AT1G02570,88.27325469,0.362384478,0.195406935,1.854511859,0.063665965,0.118030407,,protein_coding,protein_coding;Transmembrane protein 
AT1G02590,245.3853496,0.626725805,0.117730947,5.32337353,1.02E-07,7.11E-07,,protein_coding,protein_coding;Aldehyde oxidase/xanthine dehydrogenase; molybdopterin binding protein 
AT1G02600,293.3498879,0.242957514,0.129126913,1.881540475,0.059898435,0.112150714,,tRNA,tRNA;pre-tRNA 
AT1G02610,62.37525478,0.595568285,0.314227775,1.895339408,0.05804745,0.10919429,,protein_coding,protein_coding;RING/FYVE/PHD zinc finger superfamily protein 
AT1G02630,82.95025905,0.663231386,0.199861568,3.318453823,0.000905173,0.002847481,ETN8,protein_coding,ETN8;protein_coding;Equilibrative nucleotide transporter 8 
AT1G02640,34.19764889,0.207541144,0.318528456,0.651562334,0.514683553,0.628415273,BXL2,protein_coding,BXL2;protein_coding;Probable beta-D-xylosidase 2 
AT1G02650,33.31351536,1.010046563,0.415941793,2.428336316,0.01516827,0.034632374,,protein_coding,protein_coding;T14P4.7 protein 
AT1G02670,522.9382014,0.513864321,0.104655613,4.910050285,9.11E-07,5.31E-06,,protein_coding,protein_coding;P-loop containing nucleoside triphosphate hydrolases superfamily protein 
AT1G02680,18.22639787,-2.225618649,0.479381458,-4.642688223,3.44E-06,1.80E-05,TAF13,protein_coding,TAF13;protein_coding;Transcription initiation factor TFIID subunit 13 
AT1G02690,201.7709183,-1.43377551,0.211955708,-6.764505301,1.34E-11,1.74E-10,IMPA-6,protein_coding,IMPA-6;protein_coding;Importin subunit alpha 
AT1G02700,10.06249893,3.652821155,0.793987224,4.600604447,4.21E-06,2.16E-05,,protein_coding,protein_coding;GATA transcription factor-like protein 
AT1G02705,67.71712695,0.029045164,0.27548169,0.1054341,0.916031359,0.943951746,,protein_coding,protein_coding;
AT1G02710,379.9601726,-0.008402603,0.141826059,-0.059245831,0.952756306,0.96956864,,protein_coding,protein_coding;Glycine-rich protein 
AT1G02720,332.9604395,-0.280898962,0.106608637,-2.634861216,0.008417169,0.020746797,GATL5,protein_coding,GATL5;protein_coding;Probable galacturonosyltransferase-like 5 
