Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,-1.95764348,1.103125225,-1.774633955,0.075958347,0.109630268,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,0.967540705,0.135383108,7.146687074,8.89E-13,4.45E-12,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,3.51206554,1.291903562,2.718519899,0.006557471,0.011505474,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,3.754213314,0.506374881,7.413901154,1.23E-13,6.59E-13,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,0.973212188,0.187130562,5.20071216,1.99E-07,6.07E-07,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,-0.766077033,0.059396887,-12.89759576,4.64E-38,1.16E-36,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,-0.243100003,0.151388329,-1.605804122,0.108316955,0.150881933,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,-0.456741931,0.161578695,-2.826745998,0.004702361,0.008424289,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,0.571665324,0.164545127,3.474216058,0.000512348,0.001055831,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,-0.451882908,0.184716232,-2.44636275,0.014430573,0.023997331,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,0.456740789,0.099696155,4.581328034,4.62E-06,1.22E-05,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.179586999,0.08642686,-2.077907263,0.037717901,0.058000471,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,-0.385866715,0.174428251,-2.212180156,0.026954219,0.04259363,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,2.596888659,1.319729866,1.967742586,0.049097663,0.073686495,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,-1.148542132,0.053591714,-21.43133803,6.82E-102,2.28E-99,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,-0.56995717,0.098091753,-5.810449452,6.23E-09,2.21E-08,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,-0.249391315,0.214525271,-1.162526511,0.245021662,0.311047913,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,2.146174305,2.524699854,0.85007107,0.395285575,0.468091162,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,0.091500738,0.139589014,0.655500997,0.512145245,0.581335048,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,-1.00938433,0.144409973,-6.989713451,2.75E-12,1.32E-11,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,-0.57900798,0.192105838,-3.01400512,0.002578235,0.004810514,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,0.772558916,0.132119366,5.847431305,4.99E-09,1.78E-08,,protein_coding,protein_coding;At1g01240/F6F3_11 
