Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,-2.916773594,1.103598277,-2.642966789,0.00821831,0.039644216,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,-0.047378969,0.136141748,-0.348012055,0.72783113,0.851356413,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,3.609584559,1.29235571,2.79302713,0.005221731,0.028071257,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,0.068458451,0.614398088,0.111423607,0.911280441,0.957819127,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,0.460852082,0.191540257,2.406032494,0.01612683,0.065840654,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,-0.203381046,0.059078908,-3.442532258,0.000576295,0.005073478,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,0.291259817,0.148400558,1.962659842,0.049685712,0.148875266,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,-0.422677713,0.161609131,-2.615432125,0.008911463,0.042231723,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,-0.134786842,0.1787429,-0.754082211,0.450799858,0.643887016,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,0.327636186,0.179982704,1.820375952,0.068701772,0.187003429,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,0.037467882,0.102753495,0.364638516,0.71538126,0.84371416,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,0.129599804,0.085553155,1.514845403,0.129811559,0.290665904,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,-0.498996383,0.176760917,-2.823001774,0.004757631,0.026150996,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,3.471061773,1.302808773,2.664291064,0.007715078,0.037825385,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,-0.245290081,0.051649023,-4.749171737,2.04E-06,4.68E-05,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,0.012791691,0.09576552,0.133573033,0.89374021,0.948210589,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,0.265109269,0.207538641,1.277397155,0.201462069,0.389070597,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,0.084194821,2.709416567,0.03107489,0.975209815,NA,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,0.007987332,0.140391046,0.056893456,0.954630067,0.979387405,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,-0.407993861,0.142881522,-2.855469727,0.004297322,0.024176554,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,-0.829458188,0.192911234,-4.299688374,1.71E-05,0.000279891,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,0.126977226,0.136434453,0.930682999,0.352017566,0.555579523,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,409.7138108,-0.09828914,0.134901525,-0.728599177,0.466246882,0.657949837,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,1101.531394,-0.109135883,0.100698056,-1.083793346,0.278456436,0.479817481,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,13.19629958,0.667885148,0.835805344,0.799091742,0.424237218,0.621253301,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,1525.276118,-0.194625772,0.080939505,-2.404583178,0.016190921,0.066026322,,protein_coding,protein_coding;At1g01310 
AT1G01320,460.9437132,-0.062324674,0.154008956,-0.40468214,0.685711172,0.823009108,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,869.1630317,-0.048782987,0.064786626,-0.752979284,0.451462363,0.644561177,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,1647.698517,-0.012440758,0.069512977,-0.178970302,0.857961021,0.929397295,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,176.5821228,-0.03022028,0.143780078,-0.210184057,0.833524022,0.915255899,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01355,1.04652207,0.08418964,3.263649361,0.025796166,0.97941992,NA,,protein_coding,protein_coding;Putative endonuclease or glycosyl hydrolase 
AT1G01360,17.17312523,0.656885468,0.378184099,1.736946289,0.082396652,0.212950569,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,202.3678927,-0.21911269,0.214166642,-1.02309439,0.306263219,0.510284576,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,3644.552119,0.093932147,0.103832946,0.904646849,0.365652508,0.567528231,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,2095.173057,-0.238878836,0.162470401,-1.470291419,0.141482844,0.308175148,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,135.3595531,0.002234752,0.16225979,0.013772678,0.98901134,0.994356219,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,1018.12099,0.006463594,0.080423422,0.080369549,0.935943345,0.970006457,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,4.847637942,0.334858321,0.913654456,0.366504338,0.713988776,0.842854464,,protein_coding,protein_coding;At1g01440 
AT1G01460,1269.334899,0.082164145,0.070716852,1.161875033,0.24528623,0.441063436,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,515.0440119,0.125944797,0.086510325,1.455835451,0.145438113,0.313665655,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,514.2237022,-0.222240892,0.084437239,-2.632024613,0.008487771,0.040658393,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,398.7226912,-0.095906054,0.10383337,-0.923653481,0.355666759,0.558528984,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,645.6995209,0.044686204,0.096113917,0.464929594,0.641981877,0.792389827,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,308.6921313,-0.675778819,0.144496937,-4.676769166,2.91E-06,6.30E-05,,protein_coding,protein_coding;ASG4 
AT1G01530,1965.966082,0.464743259,0.220579122,2.10692315,0.035124242,0.115737612,AGL28,protein_coding,AGL28;protein_coding;AGL28 
AT1G01540,1382.332518,-1.505859778,0.193861648,-7.76770336,7.99E-15,1.39E-12,,protein_coding,protein_coding;Probable serine/threonine-protein kinase At1g01540 
AT1G01550,7.080199741,0.498316744,0.663137349,0.751453292,0.452379901,0.645370293,BPS1,protein_coding,BPS1;protein_coding;Protein BPS1; chloroplastic 
AT1G01560,255.6856329,-0.313756618,0.205272822,-1.528485921,0.126391936,0.285380817,MPK11,protein_coding,MPK11;protein_coding;Mitogen-activated protein kinase 11 
AT1G01570,135.9606241,0.750225108,0.296907586,2.526796695,0.011510812,0.05097474,,protein_coding,protein_coding;F22L4.11 protein 
AT1G01580,8.122558703,-1.018228695,0.695734169,-1.463531247,0.14332207,0.310704797,FRO2,protein_coding,FRO2;protein_coding;ferric reduction oxidase 2 
AT1G01590,12.07999537,6.07021949,1.255742087,4.833969931,1.34E-06,3.31E-05,FRO1,protein_coding,FRO1;protein_coding;Probable ferric reduction oxidase 1 
AT1G01600,534.4264819,0.723333241,0.145692247,4.964802572,6.88E-07,1.88E-05,CYP86A4,protein_coding,CYP86A4;protein_coding;Cytochrome P450 86A4 
AT1G01620,5070.917165,-0.45384117,0.058894564,-7.705994229,1.30E-14,2.16E-12,PIP1-3,protein_coding,PIP1-3;protein_coding;TMP-B 
AT1G01630,1084.26321,0.227211699,0.083485393,2.721574281,0.006497178,0.033144641,,protein_coding,protein_coding;Polyphosphoinositide binding protein; putative 
AT1G01640,790.4136753,0.096622728,0.066564903,1.451556651,0.14662492,0.315469997,,protein_coding,protein_coding;BTB/POZ domain-containing protein At1g01640 
AT1G01650,446.5067471,-0.099418453,0.123027973,-0.80809632,0.419035136,0.61680094,SPPL4,protein_coding,SPPL4;protein_coding;Signal peptide peptidase-like 4 
AT1G01670,1.581216708,-3.577609176,1.526069292,-2.344329444,0.019061326,NA,PUB56,protein_coding,PUB56;protein_coding;U-box domain-containing protein 56 
