Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,219.0215043,-0.423148443,1.480107863,-0.285890274,0.774962163,0.842434644,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,907.2922008,0.839616945,0.103680642,8.098107102,5.58E-16,1.10E-14,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,16.81733276,-1.254685235,1.018791825,-1.231542308,0.218120103,0.322707841,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,1.028156898,3.329949318,2.135304874,1.559472541,0.118884579,0.198775414,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.7138621,-0.158806918,0.159745131,-0.994126814,0.320161133,0.436856326,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,2151.438482,-0.225438607,0.063287163,-3.56215379,0.000367825,0.001309661,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,63.63384712,-0.364743878,0.252013744,-1.447317401,0.147808048,0.236757283,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,3878.252808,-0.937597061,0.183475561,-5.110201371,3.22E-07,2.02E-06,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,21.80455139,0.459657754,0.409018814,1.123805894,0.261095381,0.372835143,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,52.38812082,-0.772726598,0.242993912,-3.18002452,0.001472626,0.004533894,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,145.6777067,0.091565565,0.152085197,0.602067566,0.547129163,0.655885992,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,139.0759985,-0.029390576,0.211146392,-0.139195253,0.889295859,0.924557717,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,22.13187506,-0.951121681,0.413790058,-2.298560978,0.021529882,0.047299035,,protein_coding,protein_coding;At1g01170 
AT1G01180,1.432785441,0.073458021,1.626674329,0.045158407,0.963981047,0.975965813,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,547.7812466,-0.475498784,0.132070577,-3.600338504,0.000317803,0.001145483,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,120.6734838,0.016156871,0.179626766,0.0899469,0.928329411,0.951755019,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,24.14278845,-0.589892109,0.418647823,-1.409041388,0.15882293,0.251160548,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01220,194.0201842,0.958248069,0.166261691,5.763492856,8.24E-09,6.56E-08,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,251.4175203,-0.550390572,0.250573186,-2.196526216,0.028054301,0.059420008,,protein_coding,protein_coding;At1g01225 
AT1G01230,158.1637796,-0.162983,0.219766147,-0.741620136,0.45831752,0.57481516,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,111.8413187,0.3385204,0.175722491,1.926448901,0.054048346,0.10311669,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,116.4816227,0.393636407,0.16866232,2.333872838,0.019602381,0.043737789,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,234.1819123,-0.334981765,0.169880244,-1.971870048,0.048624443,0.094219521,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,3.302433014,0.033166374,1.182766393,0.028041357,0.977629166,0.985099655,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,811.3929498,0.363268559,0.085647794,4.24142344,2.22E-05,0.000100791,,protein_coding,protein_coding;At1g01310 
AT1G01320,146.8478372,0.860375934,0.176039489,4.887403055,1.02E-06,5.92E-06,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,272.833942,0.359916307,0.116116706,3.099608313,0.001937767,0.005795054,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,284.4011944,-0.338735297,0.123903421,-2.73386558,0.006259559,0.016229367,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,51.49684327,0.492392271,0.281971046,1.74625118,0.080767315,0.14440835,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01360,4.547161673,-1.801084275,0.91285109,-1.973031851,0.048491934,0.09401123,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,135.0001911,-0.035119932,0.180389996,-0.194688913,0.845636492,0.89505526,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,910.8423633,-0.782337414,0.093437058,-8.372881505,5.62E-17,1.25E-15,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,430.2761854,1.09900478,0.170745205,6.436519137,1.22E-10,1.26E-09,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,759.5014024,-0.573925922,0.227184346,-2.526256467,0.011528529,0.027658145,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,224.3841136,0.175405196,0.149599838,1.172495892,0.240998021,0.349537812,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,2.481214094,-2.112653944,1.199940641,-1.760632044,0.078300701,0.140714933,,protein_coding,protein_coding;At1g01440 
AT1G01460,321.2169283,0.240839829,0.140106569,1.718975988,0.085618744,0.151464709,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,141.8154163,-0.738504523,0.175794988,-4.200941864,2.66E-05,0.000118781,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,162.7055201,0.472775913,0.150240796,3.146787856,0.001650747,0.005016535,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,135.4308107,0.31307415,0.154106776,2.031540453,0.0422002,0.083995493,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,296.3439385,-0.129330238,0.114080764,-1.133672611,0.256931902,0.368172183,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,181.6311438,-0.197432109,0.178337177,-1.107072076,0.268262767,0.381114922,,protein_coding,protein_coding;ASG4 
AT1G01530,618.4922239,-0.334244972,0.179691562,-1.860103882,0.06287083,0.116979483,AGL28,protein_coding,AGL28;protein_coding;AGL28 
AT1G01540,1010.007125,-0.496420753,0.10800523,-4.596265869,4.30E-06,2.23E-05,,protein_coding,protein_coding;Probable serine/threonine-protein kinase At1g01540 
AT1G01550,7.14909767,0.056731519,0.623440233,0.090997526,0.927494557,0.951158576,BPS1,protein_coding,BPS1;protein_coding;Protein BPS1; chloroplastic 
AT1G01560,56.61246187,-0.372727755,0.269369123,-1.38370631,0.166448401,0.260752665,MPK11,protein_coding,MPK11;protein_coding;Mitogen-activated protein kinase 11 
AT1G01570,78.48756754,-0.86421412,0.228648503,-3.779662269,0.000157041,0.000601822,,protein_coding,protein_coding;F22L4.11 protein 
AT1G01580,756.5724036,1.071719528,0.665633562,1.610074355,0.107381625,0.182786553,FRO2,protein_coding,FRO2;protein_coding;ferric reduction oxidase 2 
AT1G01590,3.932927097,1.303578117,1.106976937,1.177601875,0.238955362,0.347133388,FRO1,protein_coding,FRO1;protein_coding;Probable ferric reduction oxidase 1 
AT1G01600,67.19003904,-0.427689833,0.200565783,-2.132416746,0.032972602,0.068167159,CYP86A4,protein_coding,CYP86A4;protein_coding;Cytochrome P450 86A4 
AT1G01620,1462.18876,-0.429017205,0.081211021,-5.282746087,1.27E-07,8.53E-07,PIP1-3,protein_coding,PIP1-3;protein_coding;TMP-B 
AT1G01630,313.2108135,0.006475541,0.117564008,0.055080981,0.956073948,0.970804579,,protein_coding,protein_coding;Polyphosphoinositide binding protein; putative 
AT1G01640,223.1576369,0.166279193,0.156810343,1.060384088,0.288969898,0.403566347,,protein_coding,protein_coding;BTB/POZ domain-containing protein At1g01640 
AT1G01650,63.18434901,-2.344560979,0.306796415,-7.642074226,2.14E-14,3.46E-13,SPPL4,protein_coding,SPPL4;protein_coding;Signal peptide peptidase-like 4 
AT1G01680,4.68750477,0.296426964,1.477997606,0.20055984,0.841042763,0.891776624,PUB54,protein_coding,PUB54;protein_coding;U-box domain-containing protein 54 
AT1G01690,344.410161,-2.220418583,0.213075866,-10.42078872,1.99E-25,1.10E-23,ATPRD3,protein_coding,ATPRD3;protein_coding;Putative recombination initiation defects 3 
AT1G01695,564.9809907,-0.525225448,0.304584674,-1.724398808,0.084635873,0.150059309,,protein_coding,protein_coding;TRM33 
AT1G01700,23.39342345,-0.766660699,0.381496548,-2.009613726,0.044472087,0.087630095,ATROPGEF2,protein_coding,ATROPGEF2;protein_coding;RHO guanyl-nucleotide exchange factor 2 
AT1G01710,1164.19666,-0.919689365,0.09948452,-9.244547469,2.36E-20,7.62E-19,,protein_coding,protein_coding;Acyl-CoA thioesterase II 
AT1G01715,142.3022276,-0.670593046,0.449479082,-1.491933824,0.135716495,0.221550079,,protein_coding,protein_coding;
AT1G01740,80.86393188,-0.559140146,0.244484084,-2.287020643,0.022194618,0.048541847,BSK4,protein_coding,BSK4;protein_coding;Serine/threonine-protein kinase BSK4 
AT1G01760,97.79449106,1.520148934,0.38284588,3.970655072,7.17E-05,0.000294123,,protein_coding,protein_coding;TAD1 
