TAIR	Gene Name	FAMYLY	No. of B3 domain 	No. of full-length protein	Domains found (PFAM)– No. of aminoacid 	E-value
At3g24650 	ABI3	ABI3	1	720	B3 (104)	5.70E-27
At1g28300 	LEC2	ABI3	1	363	B3 (105)	3.40E-23
At3g26790 	FUS3	ABI3	1	313	B3 (106)	3.90E-30
At2g30470 	VAL1	HSI	1	790	B3/zfCW (104-46)	3.00E-29
At4g32010 	VAL2	HSI	1	780	B3/zfCW (104-46)	3.40E-26
At4g21550 	VAL3	HSI	1	721	B3 (102)	2.10E-25
At1g19220 	ARF19	ARF/ I / IA	1	1086	B3/ARF/Aux/IAA III/IV (106-83-33-44)	8.50E-33
At1g19850 	ARF5	ARF/ I / IA	1	902	B3/ARF/Aux/IAA III/IV (106-84-33-44)	4.20E-35
At1g30330 	ARF6	ARF/ I /  IA	1	933	B3/ARF/Aux/IAA III/IV (106-84-33-44)	9.00E-33
At5g20730 	ARF7	ARF/ I /  IA	1	1165	B3/ARF/Aux/IAA III/IV (106-84-33-44)	1.10E-31
At5g37020 	ARF8	ARF/ I /  IA	1	811	B3/ARF/Aux/IAA III/IV (106-84-33-44)	1.20E-31
At2g33860 	ARF3	ARF/ I /  IB	1	608	B3/ARF (106-83)	3.90E-33
At5g60450	ARF4	ARF/ I /  IB	1	788	B3/ARF/Aux/IAA III/IV (106-83-34-44)	1.50E-30
At1g59750 	ARF1	ARF/ II /  IIB	1	665	B3/ARF/Aux/IAA III/IV (106-83-34-44)	3.60E-31
At5g62000 	ARF2	ARF/ II /  IIB	1	859	B3/ARF/Aux/IAA III/IV (106-83-34-44)	2.90E-32
At2g46530 	ARF11	ARF/ II /  IIC	1	601	B3/ARF/Aux/IAA III/IV (106-80-34-44)	4.40E-31
At3g61830 	ARF18	ARF/ II /  IIC	1	602	B3/ARF/Aux/IAA III/IV (106-80-34-44)	1.40E-31
At4g23980 	ARF9	ARF/ II /  IIC	1	638	B3/ARF/Aux/IAA III/IV (106-80-34-44)	6.40E-33
At1g34170 	ARF13	ARF/ II /  IID	1	505	B3/ARF (108-80)	7.20E-29
At1g34310 	ARF12	ARF/ II /  IID	1	593	B3/ARF/Aux/IAA III/IV (106-80-34-39)	3.70E-31
At1g34390 	ARF22	ARF/ II /  IID	1	598	B3/ARF/Aux/IAA III/IV (104-80-34-44) 	2.70E-30
At1g34410 	ARF21	ARF/ II /  IID	1	606	B3/ARF/Aux/IAA III/IV (106-80-34-44)	4.80E-31
At1g35240 	ARF20	ARF/ II /  IID	1	590	B3/ARF/Aux/IAA III/IV (102-82-34-44)	2.20E-32
At1g35520 	ARF15	ARF/ II /  IID	1	598	B3/ARF/Aux/IAA III/IV (106-80-34-39)	4.70E-32
At1g35540 	ARF14	ARF/ II /  IID	1	605	B3/ARF/Aux/IAA III/IV (106-80-34-44)	3.20E-31
At1g43950 	ARF23	ARF/ II /  IID	1	222	B3 (97)	8.90E-20
At1g77850 	ARF17	ARF/ III	1	585	B3/ARF (106-83)	1.40E-31
At2g28350 	ARF10	ARF/ III	1	693	B3/ARF/Aux/IAA III/IV (106-84-34-41)	1.80E-25
At4g30080 	ARF16	ARF/ III	1	670	B3/ARF/Aux/IAA III/IV (106-84-34-41)	1.40E-33
At1g01030	NGA3	RAV	1	358	B3 (110)	3.20E-34
At2g36080	RAV-like 1	RAV	1	244	B3 (110)	1.60E-35
At2g46870	NGA1	RAV	1	310	B3 (110)	4.80E-36
At3g11580	RAV-like 2	RAV	1	267	B3 (115)	2.30E-33
At3g61970	NGA2	RAV	1	299	B3 (110)	5.30E-37
At4g01500	NGA4	RAV	1	328	B3 (111)	1.10E-33
At5g06250	RAV-like 3	RAV	1	267	B3 (117)	1.50E-33
At1g50680	RAV-like 4	RAV (AP2)/ II	1	337	AP2/B3 (65-118)	2.50E-27
At1g51120	RAV-like 5	RAV (AP2)/ II 	1	352	AP2/B3 (65-112)	2.70E-29
At1g13260	RAV1	RAV (AP2)/  I	1	344	AP2/B3 (63-108)	2.20E-37
At1g25560	TEM1	RAV (AP2)/  I	1	361	AP2/B3 (63-115)	6.60E-35
At3g25730	RAV1-like	RAV (AP2)/  I	1	333	AP2/B3 (63-110)	1.20E-36
At1g68840	RAV2/TEM2	RAV (AP2)/  I	1	352	AP2/B3 (63-109)	2.10E-39
At3g19184	REM1	REM/ REM I	1	277	B3 (95)	1.90E-24
At5g42700	REM2	REM/ REM I	1	211	B3 (95)	8.90E-23
At5g58280	REM3	REM/ REM I	1	273	B3 (95)	5.20E-30
