Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,1306.36992,-0.085506145,1.102832915,-0.077533182,0.938199395,0.970948899,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,2806.214859,0.465551356,0.135700035,3.430738662,0.00060194,0.006328409,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,20.77313541,-3.112172114,1.738045116,-1.790616415,0.073354871,0.195357219,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,28.28089982,0.556161905,0.580866917,0.957468723,0.338330726,0.535107953,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.1906214,-0.77517873,0.206272822,-3.75802649,0.000171259,0.002520375,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,5870.509172,-0.245837067,0.059075757,-4.161386643,3.16E-05,0.000741407,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,198.3144389,-0.170655648,0.15160902,-1.125629909,0.260322203,0.454075758,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,5715.811198,-0.46050746,0.161606327,-2.849563304,0.004377929,0.026027339,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,83.86924626,-0.032670315,0.175780957,-0.185858102,0.85255604,0.924353975,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,176.6077391,-0.244271997,0.183750804,-1.329365594,0.183727383,0.363210651,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,453.6257431,0.392983446,0.100464365,3.911670042,9.17E-05,0.001613631,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,526.4613634,-0.00010237,0.085986017,-0.001190541,0.999050086,0.999592699,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,208.3196657,0.705935434,0.168303755,4.194412869,2.74E-05,0.000667337,,protein_coding,protein_coding;At1g01170 
AT1G01180,4.895061951,-1.421391324,1.737094459,-0.818257935,0.41320992,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,2250.206022,-0.045400342,0.051198949,-0.886743629,0.375216943,0.571096899,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,529.7177088,-0.065019116,0.095913984,-0.677889846,0.497841539,0.679217393,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,58.13761563,-0.653167114,0.226786377,-2.880098547,0.003975509,0.02430167,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01210,0.528125474,-0.921798405,2.709431485,-0.340218385,0.733692074,NA,,protein_coding,protein_coding;DNA-directed RNA polymerase subunit 
AT1G01220,489.2903868,-0.011385168,0.140288329,-0.081155489,0.935318298,0.969511521,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,668.155484,0.26926862,0.141246457,1.906374331,0.056601657,0.163010173,,protein_coding,protein_coding;At1g01225 
AT1G01230,776.1157437,-0.030008422,0.191413719,-0.156772578,0.875424085,0.937167883,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,319.7521531,0.375673605,0.134560275,2.791861164,0.005240584,0.029650058,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,409.7138108,0.156062064,0.133534661,1.168700792,0.242524203,0.434720845,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
