Gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_name,Gene_type,Gene_description
AT1G01010,219.0215043,5.596821026,2.101533454,2.663208152,0.007739952,0.306634782,NAC001,protein_coding,NAC001;protein_coding;NAC domain-containing protein 1 
AT1G01020,907.2922008,0.148584634,0.145687162,1.019888313,0.307781433,0.959539869,ARV1,protein_coding,ARV1;protein_coding;ARV1 family protein 
AT1G01030,16.81733276,-0.371391035,1.458454015,-0.254647066,0.798995704,0.999794524,NGA3,protein_coding,NGA3;protein_coding;B3 domain-containing transcription factor NGA3 
AT1G01040,1.028156898,-0.072776911,3.026083443,-0.024049869,0.98081283,NA,DCL1,protein_coding,DCL1;protein_coding;Dicer-like 1 
AT1G01046,156.7138621,-0.018552127,0.227421658,-0.081575903,0.934983964,0.999794524,MIR838A,miRNA,MIR838A;miRNA;MIR838a; miRNA 
AT1G01080,2151.438482,0.185919359,0.088709358,2.095825766,0.03609765,0.595139324,,protein_coding,protein_coding;RNA-binding (RRM/RBD/RNP motifs) family protein 
AT1G01090,63.63384712,0.111815313,0.356514711,0.313634499,0.753798654,0.999794524,PDH-E1 ALPHA,protein_coding,PDH-E1 ALPHA;protein_coding;Pyruvate dehydrogenase E1 component subunit alpha 
AT1G01100,3878.252808,0.248100582,0.259422215,0.956358277,0.338891256,0.97251379,RPP1A,protein_coding,RPP1A;protein_coding;60S acidic ribosomal protein P1-1 
AT1G01110,21.80455139,0.111647695,0.577377367,0.193370405,0.846668892,0.999794524,IQD18,protein_coding,IQD18;protein_coding;IQ-domain 18 
AT1G01120,52.38812082,-0.244588069,0.339809289,-0.719780409,0.471660209,0.992523931,KCS1,protein_coding,KCS1;protein_coding;3-ketoacyl-CoA synthase 
AT1G01150,145.6777067,-0.172409134,0.212382018,-0.811787812,0.416913397,0.987544832,,protein_coding,protein_coding;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein 
AT1G01160,139.0759985,-0.260900335,0.294898968,-0.884710914,0.376312568,0.981159737,GIF2,protein_coding,GIF2;protein_coding;GRF1-interacting factor 2 
AT1G01170,22.13187506,0.434093664,0.568266044,0.76389161,0.444931837,0.989051395,,protein_coding,protein_coding;At1g01170 
AT1G01180,1.432785441,0.055952533,2.201978986,0.025410112,0.979727845,NA,,protein_coding,protein_coding;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 
AT1G01183,547.7812466,0.420691692,0.186156544,2.259881295,0.023828619,0.524243228,MIR165A,miRNA,MIR165A;miRNA;MIR165/MIR165A; miRNA 
AT1G01190,120.6734838,0.441198608,0.250618888,1.76043638,0.078333846,0.753672994,CYP78A8,protein_coding,CYP78A8;protein_coding;CYP78A8 
AT1G01200,24.14278845,0.439048193,0.593180756,0.740159198,0.459203402,0.98973096,RABA3,protein_coding,RABA3;protein_coding;RABA3 
AT1G01220,194.0201842,0.028582686,0.233987533,0.122154737,0.902776472,0.999794524,FKGP,protein_coding,FKGP;protein_coding;Bifunctional fucokinase/fucose pyrophosphorylase 
AT1G01225,251.4175203,0.485310995,0.355353049,1.365715018,0.172028429,0.900956936,,protein_coding,protein_coding;At1g01225 
AT1G01230,158.1637796,0.587286963,0.309467248,1.897735437,0.057730942,0.692872222,,protein_coding,protein_coding;ORMDL family protein 
AT1G01240,111.8413187,-0.26640791,0.243867612,-1.092428417,0.274644838,0.953259258,,protein_coding,protein_coding;At1g01240/F6F3_11 
AT1G01280,116.4816227,-0.003449147,0.234903924,-0.014683222,0.988284905,0.999794524,CYP703A2,protein_coding,CYP703A2;protein_coding;CYP703A2 
AT1G01300,234.1819123,0.181887206,0.238716266,0.761938885,0.446096481,0.989051395,APF2,protein_coding,APF2;protein_coding;Aspartyl protease family protein 2 
AT1G01305,3.302433014,-0.719802661,1.685087527,-0.427160399,0.669262503,0.999794524,,protein_coding,protein_coding;Putative uncharacterized protein 
AT1G01310,811.3929498,-0.001840079,0.119710254,-0.015371108,0.987736113,0.999794524,,protein_coding,protein_coding;At1g01310 
AT1G01320,146.8478372,0.171934177,0.241609295,0.711620703,0.476699683,0.993323752,,protein_coding,protein_coding;Tetratricopeptide repeat (TPR)-like superfamily protein 
AT1G01335,272.833942,0.118922769,0.161112235,0.738136173,0.460431704,0.98973096,AREP1,protein_coding,AREP1;protein_coding;Auxin-responsive endogenous peptide 1 
AT1G01340,284.4011944,0.072394234,0.17295195,0.418580041,0.675523079,0.999794524,CNGC10,protein_coding,CNGC10;protein_coding;Probable cyclic nucleotide-gated ion channel 10 
AT1G01350,51.49684327,0.048718558,0.387604333,0.125691469,0.899976155,0.999794524,,protein_coding,protein_coding;Zinc finger CCCH domain-containing protein 1 
AT1G01360,4.547161673,-0.840259862,1.222757101,-0.68718461,0.491966401,0.994088863,PYL9,protein_coding,PYL9;protein_coding;RCAR1 
AT1G01370,135.0001911,-0.17409545,0.255008348,-0.682704903,0.494793331,0.994088863,HTR12,protein_coding,HTR12;protein_coding;Histone H3-like centromeric protein HTR12 
AT1G01400,910.8423633,0.039926122,0.131282698,0.304123255,0.761033991,0.999794524,,protein_coding,protein_coding;F6F3.20 protein 
AT1G01410,430.2761854,0.471903387,0.236841903,1.992482668,0.046318125,0.642731787,APUM22,protein_coding,APUM22;protein_coding;Putative pumilio homolog 22 
AT1G01420,759.5014024,-0.244832207,0.320748751,-0.763314608,0.445275792,0.989051395,UGT72B3,protein_coding,UGT72B3;protein_coding;UDP-glucosyl transferase 72B3 
AT1G01430,224.3841136,0.230541362,0.208882749,1.1036879,0.269728546,0.951991182,TBL25,protein_coding,TBL25;protein_coding;Mannan O-acetyltransferase 3 
AT1G01440,2.481214094,-1.095684594,1.789110364,-0.612418672,0.540260791,NA,,protein_coding,protein_coding;At1g01440 
AT1G01460,321.2169283,0.450442157,0.196088524,2.297136759,0.021610969,0.496787499,PIP5K10,protein_coding,PIP5K10;protein_coding;Phosphatidylinositol 4-phosphate 5-kinase 10 
AT1G01470,141.8154163,-0.334652736,0.245956568,-1.360617199,0.173634693,0.900956936,LEA14,protein_coding,LEA14;protein_coding;LSR3 
AT1G01490,162.7055201,0.533660838,0.207851221,2.56751361,0.010243077,0.347223769,,protein_coding,protein_coding;Heavy metal transport/detoxification superfamily protein 
AT1G01500,135.4308107,0.139960866,0.215041503,0.650855135,0.515140005,0.994088863,,protein_coding,protein_coding;Uncharacterized protein At1g01500 
AT1G01510,296.3439385,-0.229831867,0.16041056,-1.432772676,0.151922812,0.88179745,AN,protein_coding,AN;protein_coding;C-terminal binding protein AN 
AT1G01520,181.6311438,0.188141488,0.248722079,0.756432599,0.449389869,0.989051395,,protein_coding,protein_coding;ASG4 
AT1G01530,618.4922239,0.01343698,0.254008721,0.052899679,0.95781184,0.999794524,AGL28,protein_coding,AGL28;protein_coding;AGL28 
AT1G01540,1010.007125,-0.117719493,0.151718392,-0.775907864,0.437803389,0.988049387,,protein_coding,protein_coding;Probable serine/threonine-protein kinase At1g01540 
AT1G01550,7.14909767,0.418420908,0.858001413,0.487669253,0.625784134,0.999794524,BPS1,protein_coding,BPS1;protein_coding;Protein BPS1; chloroplastic 
AT1G01560,56.61246187,-0.302195686,0.364259763,-0.829615884,0.406755993,0.987544832,MPK11,protein_coding,MPK11;protein_coding;Mitogen-activated protein kinase 11 
AT1G01570,78.48756754,-0.756221354,0.321533474,-2.351921073,0.018676737,0.469151524,,protein_coding,protein_coding;F22L4.11 protein 
AT1G01580,756.5724036,0.443530406,0.940929184,0.471374907,0.637373032,0.999794524,FRO2,protein_coding,FRO2;protein_coding;ferric reduction oxidase 2 
AT1G01590,3.932927097,-0.678697612,1.846525979,-0.367553784,0.713205981,0.999794524,FRO1,protein_coding,FRO1;protein_coding;Probable ferric reduction oxidase 1 
AT1G01600,67.19003904,-0.103219427,0.283071417,-0.364640939,0.715379451,0.999794524,CYP86A4,protein_coding,CYP86A4;protein_coding;Cytochrome P450 86A4 
AT1G01620,1462.18876,0.029466453,0.113542957,0.259518108,0.795235512,0.999794524,PIP1-3,protein_coding,PIP1-3;protein_coding;TMP-B 
AT1G01630,313.2108135,0.180116947,0.164344899,1.095969198,0.273092255,0.953259258,,protein_coding,protein_coding;Polyphosphoinositide binding protein; putative 
AT1G01640,223.1576369,0.111289546,0.21807578,0.51032511,0.609823714,0.999794524,,protein_coding,protein_coding;BTB/POZ domain-containing protein At1g01640 
AT1G01650,63.18434901,-0.370614212,0.410296964,-0.903282852,0.366375795,0.979340723,SPPL4,protein_coding,SPPL4;protein_coding;Signal peptide peptidase-like 4 
AT1G01680,4.68750477,1.195848286,1.675438303,0.713752505,0.475380233,0.992671229,PUB54,protein_coding,PUB54;protein_coding;U-box domain-containing protein 54 
AT1G01690,344.410161,-0.085445018,0.298832495,-0.285929473,0.77493214,0.999794524,ATPRD3,protein_coding,ATPRD3;protein_coding;Putative recombination initiation defects 3 
AT1G01695,564.9809907,-0.817562938,0.430662179,-1.898385737,0.057645287,0.692778247,,protein_coding,protein_coding;TRM33 
AT1G01700,23.39342345,0.306910918,0.529994172,0.579083572,0.562532784,0.998701865,ATROPGEF2,protein_coding,ATROPGEF2;protein_coding;RHO guanyl-nucleotide exchange factor 2 
AT1G01710,1164.19666,0.151671922,0.140404904,1.080246613,0.280032376,0.954241277,,protein_coding,protein_coding;Acyl-CoA thioesterase II 
AT1G01715,142.3022276,0.675103853,0.633045423,1.06643825,0.286225579,0.95564875,,protein_coding,protein_coding;
AT1G01740,80.86393188,-0.591990565,0.343027966,-1.725779307,0.084387124,0.767118791,BSK4,protein_coding,BSK4;protein_coding;Serine/threonine-protein kinase BSK4 
AT1G01760,97.79449106,0.196852435,0.537641704,0.366140561,0.714260193,0.999794524,,protein_coding,protein_coding;TAD1 
AT1G01770,24.2524236,1.163221753,0.729911919,1.593646744,0.111015179,0.828315079,,protein_coding,protein_coding;Propionyl-CoA carboxylase 
